Dates,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity
2022-01-01,Indiranagar,100 Feet Road,50590,50.23,1.50,100.00,100.00,0,151.18,70.63,84.04,85.40,111,Clear,No
2022-01-01,Indiranagar,CMH Road,30825,29.38,1.50,100.00,100.00,1,111.65,41.92,91.41,59.98,100,Clear,No
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47,1.04,28.35,36.40,0,64.80,44.66,61.38,95.47,189,Clear,No
2022-01-01,Koramangala,Sony World Junction,60874,43.82,1.50,100.00,100.00,1,171.75,32.77,75.55,63.57,111,Clear,No
2022-01-01,Koramangala,Sarjapur Road,57292,41.12,1.50,100.00,100.00,3,164.58,35.09,64.63,93.16,104,Clear,No
2022-01-01,M.G. Road,Trinity Circle,47848,34.24,1.50,100.00,100.00,3,145.70,39.93,61.02,55.39,94,Overcast,No
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98,1.50,100.00,100.00,3,123.15,72.48,81.57,90.37,115,Clear,No
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.46,1.50,79.04,100.00,2,100.76,46.32,88.12,68.18,92,Clear,No
2022-01-01,Jayanagar,South End Circle,25022,35.04,1.50,78.98,100.00,1,100.04,44.26,99.43,62.10,105,Clear,No
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90,1.50,97.67,100.00,1,113.52,12.85,83.64,83.88,91,Clear,No
2022-01-01,Hebbal,Ballari Road,38446,26.14,1.50,100.00,100.00,3,126.89,48.86,81.19,62.09,84,Overcast,No
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.97,1.35,55.74,76.64,0,80.09,21.31,95.94,80.32,105,Clear,No
2022-01-02,Indiranagar,100 Feet Road,22050,52.87,1.13,78.43,100.00,3,94.10,35.74,70.61,62.20,115,Fog,No
2022-01-02,Indiranagar,CMH Road,37877,26.43,1.50,100.00,100.00,1,125.75,75.83,98.16,95.74,96,Overcast,No
2022-01-02,Koramangala,Sarjapur Road,29106,43.56,1.50,90.41,100.00,3,108.21,53.05,99.60,57.00,100,Fog,No
2022-01-02,M.G. Road,Trinity Circle,53217,37.57,1.50,100.00,100.00,5,156.43,33.66,75.02,54.70,102,Clear,No
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.89,1.50,100.00,100.00,2,125.17,15.97,62.07,76.57,101,Fog,No
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.52,1.18,47.16,78.63,2,83.35,38.63,66.93,57.82,92,Fog,No
2022-01-02,Jayanagar,South End Circle,37509,51.51,1.50,100.00,100.00,1,125.02,63.05,60.58,55.80,76,Overcast,No
2022-01-02,Hebbal,Hebbal Flyover,6758,34.76,1.07,21.20,32.78,1,63.52,13.17,74.98,81.29,200,Rain,No
2022-01-02,Hebbal,Ballari Road,30209,31.15,1.50,100.00,100.00,2,110.42,48.19,97.66,69.31,90,Clear,Yes
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.07,1.34,58.38,100.00,0,90.75,18.27,87.87,81.45,113,Overcast,No
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.79,1.31,48.94,82.49,1,81.27,62.56,90.18,55.16,115,Overcast,No
2022-01-03,Indiranagar,100 Feet Road,23457,38.87,1.38,87.20,100.00,2,96.91,33.01,86.90,87.62,109,Clear,No
2022-01-03,Indiranagar,CMH Road,38925,33.53,1.50,100.00,100.00,1,127.85,53.28,64.04,54.21,106,Overcast,No
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.23,1.38,40.23,48.30,0,68.31,15.85,91.09,77.92,197,Clear,No
2022-01-03,Whitefield,ITPL Main Road,24968,36.73,1.30,84.89,100.00,1,99.94,70.80,68.94,98.16,82,Windy,No
2022-01-03,Koramangala,Sony World Junction,51459,27.33,1.50,100.00,100.00,0,152.92,29.67,98.02,94.51,99,Clear,No
2022-01-03,Koramangala,Sarjapur Road,28481,36.50,1.50,100.00,100.00,2,106.96,66.97,87.39,58.13,116,Overcast,No
2022-01-03,Jayanagar,Jayanagar 4th Block,10179,40.31,1.39,26.94,51.84,0,70.36,77.89,93.68,91.92,199,Clear,Yes
2022-01-04,Indiranagar,100 Feet Road,46199,41.23,1.50,100.00,100.00,2,142.40,57.02,84.73,67.91,86,Clear,No
2022-01-04,Indiranagar,CMH Road,56242,52.55,1.50,100.00,100.00,0,162.48,12.01,90.21,81.02,106,Clear,Yes
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.61,1.36,65.13,100.00,1,90.90,53.55,94.49,97.48,100,Clear,No
2022-01-04,Whitefield,ITPL Main Road,13391,51.70,1.03,37.21,63.24,0,76.78,19.72,85.63,59.09,194,Clear,No
2022-01-04,Koramangala,Sony World Junction,28369,29.41,1.50,86.34,100.00,1,106.74,35.50,80.14,84.52,104,Overcast,No
2022-01-04,Koramangala,Sarjapur Road,31228,42.58,1.50,97.78,100.00,2,112.46,35.82,78.50,87.37,73,Fog,No
2022-01-04,M.G. Road,Trinity Circle,34180,37.03,1.50,100.00,100.00,0,118.36,32.55,68.46,66.37,103,Fog,No
2022-01-04,M.G. Road,Anil Kumble Circle,43569,40.39,1.50,100.00,100.00,1,137.14,55.21,82.83,67.80,92,Clear,No
2022-01-04,Jayanagar,Jayanagar 4th Block,16342,39.55,1.36,46.08,81.96,0,82.68,78.77,64.48,69.89,110,Clear,No
2022-01-04,Yeshwanthpur,Yeshwanthpur Circle,19306,34.98,1.17,64.51,93.95,0,88.61,52.74,71.55,79.06,88,Clear,Yes
2022-01-04,Yeshwanthpur,Tumkur Road,16012,39.23,1.10,57.00,82.66,0,82.02,43.01,76.47,67.44,118,Windy,No
2022-01-05,Indiranagar,100 Feet Road,49952,50.80,1.50,100.00,100.00,2,149.90,21.50,92.58,83.26,101,Overcast,No
2022-01-05,Indiranagar,CMH Road,33970,20.00,1.50,100.00,100.00,1,117.94,72.97,75.36,77.18,116,Clear,No
2022-01-05,Whitefield,ITPL Main Road,17018,57.47,1.21,64.60,87.98,0,84.04,31.82,69.94,87.20,108,Clear,No
2022-01-05,Koramangala,Sony World Junction,58920,25.21,1.50,100.00,100.00,2,167.84,54.88,87.76,77.14,92,Clear,No
2022-01-05,Koramangala,Sarjapur Road,46963,34.44,1.50,100.00,100.00,2,143.93,71.05,97.28,78.26,106,Clear,No
2022-01-05,Jayanagar,Jayanagar 4th Block,18111,55.94,1.24,58.35,86.10,0,86.22,66.20,60.19,66.67,97,Overcast,No
2022-01-05,Jayanagar,South End Circle,22491,42.39,1.18,67.79,100.00,0,94.98,39.32,96.59,68.12,102,Clear,No
2022-01-05,Hebbal,Hebbal Flyover,38924,23.93,1.50,100.00,100.00,2,127.85,62.50,68.40,94.90,90,Clear,No
2022-01-05,Yeshwanthpur,Yeshwanthpur Circle,25165,20.00,1.50,82.70,100.00,1,100.33,22.73,94.47,97.31,96,Rain,No
2022-01-05,Yeshwanthpur,Tumkur Road,15871,57.72,1.01,47.34,76.67,1,81.74,17.29,92.00,58.93,104,Clear,No
2022-01-06,Indiranagar,100 Feet Road,46556,46.59,1.50,100.00,100.00,2,143.11,15.99,68.32,51.33,89,Clear,No
2022-01-06,Indiranagar,CMH Road,22591,30.92,1.24,70.66,100.00,2,95.18,30.61,97.94,88.18,100,Fog,No
2022-01-06,Whitefield,Marathahalli Bridge,20310,51.72,1.10,60.49,100.00,1,90.62,22.02,70.89,50.92,117,Clear,No
2022-01-06,Koramangala,Sony World Junction,61024,44.83,1.50,100.00,100.00,2,172.05,36.82,80.76,52.35,89,Clear,No
2022-01-06,Koramangala,Sarjapur Road,28153,21.48,1.50,98.22,100.00,4,106.31,25.05,61.25,63.11,103,Clear,No
2022-01-06,M.G. Road,Trinity Circle,12965,62.71,1.28,41.91,62.29,2,75.93,29.05,83.61,68.05,198,Clear,No
