Dates,AreaName,RoadIntersectionName,TrafficVolume,AverageSpeed,TravelTimeIndex,CongestionLevel,RoadCapacityUtilization,IncidentReports,EnvironmentalImpact,PublicTransportUsage,TrafficSignalCompliance,ParkingUsage,PedestrianCyclistCount,WeatherConditions,RoadworkConstructionActivity,DayOfWeek,CongestionCategory,PeakHour,CongestionScore,AccidentRisk,WeatherGroup,UtilizationStatus
2022-01-01,Indiranagar,100 Feet Road,50590,50.23,1.5,100,100,0,151.18,70.63,84.04,85.4,111,Clear,No,Saturday,High,0,1007.1670316543899,0,Clear,Over Utilized
2022-01-01,Indiranagar,CMH Road,30825,29.38,1.5,100,100,1,111.65,41.92,91.41,59.98,100,Clear,No,Saturday,High,0,1049.1831177671886,101,Clear,Over Utilized
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47,1.04,28.35,36.4,0,64.8,44.66,61.38,95.47,189,Clear,No,Saturday,High,0,135.83624013218287,0,Clear,Over Utilized
2022-01-01,Koramangala,Sony World Junction,60874,43.82,1.5,100,100,1,171.75,32.77,75.55,63.57,111,Clear,No,Saturday,High,0,1389.183021451392,101,Clear,Over Utilized
2022-01-01,Koramangala,Sarjapur Road,57292,41.12,1.5,100,100,3,164.58,35.09,64.63,93.16,104,Clear,No,Saturday,High,0,1393.2879377431907,303,Clear,Over Utilized
2022-01-01,M.G. Road,Trinity Circle,47848,34.24,1.5,100,100,3,145.7,39.93,61.02,55.39,94,Overcast,No,Saturday,High,0,1397.429906542056,303,Other,Over Utilized
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98,1.5,100,100,3,123.15,72.48,81.57,90.37,115,Clear,No,Saturday,High,0,1219.9466310873916,303,Clear,Over Utilized
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.46,1.5,79.04,100,2,100.76,46.32,88.12,68.18,92,Clear,No,Saturday,High,0,659.8803952158086,160.08,Clear,Over Utilized
2022-01-01,Jayanagar,South End Circle,25022,35.04,1.5,78.98,100,1,100.04,44.26,99.43,62.1,105,Clear,No,Saturday,High,0,714.0981735159818,79.98,Clear,Over Utilized
2022-01-01,Hebbal,Hebbal Flyover,31760,56.9,1.5,97.67,100,1,113.52,12.85,83.64,83.88,91,Clear,No,Saturday,High,0,558.1722319859402,98.67,Clear,Over Utilized
2022-01-01,Hebbal,Ballari Road,38446,26.14,1.5,100,100,3,126.89,48.86,81.19,62.09,84,Overcast,No,Saturday,High,0,1470.7727620504972,303,Other,Over Utilized
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.97,1.35,55.74,76.64,0,80.09,21.31,95.94,80.32,105,Clear,No,Saturday,High,0,313.59182822597455,0,Clear,Over Utilized
2022-01-02,Indiranagar,100 Feet Road,22050,52.87,1.13,78.43,100,3,94.1,35.74,70.61,62.2,115,Fog,No,Sunday,High,0,417.06071496122564,238.29000000000002,Foggy,Over Utilized
2022-01-02,Indiranagar,CMH Road,37877,26.43,1.5,100,100,1,125.75,75.83,98.16,95.74,96,Overcast,No,Sunday,High,0,1433.1063185773742,101,Other,Over Utilized
2022-01-02,Koramangala,Sarjapur Road,29106,43.56,1.5,90.41,100,3,108.21,53.05,99.6,57,100,Fog,No,Sunday,High,0,668.1818181818181,274.23,Foggy,Over Utilized
